interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Go,programming,advanced,basic,Hindi,Go advanced Hindi
Electricity and Magnetism,physics,intermediate,none,English,Electricity and Magnetism intermediate English
Drama,literature,beginner,intermediate,Hindi,Drama beginner Hindi
World Literature,literature,intermediate,intermediate,English,World Literature intermediate English
Electricity and Magnetism,physics,intermediate,intermediate,English,Electricity and Magnetism intermediate English
Python,programming,intermediate,basic,Hindi,Python intermediate Hindi
Electricity and Magnetism,physics,advanced,intermediate,Hindi,Electricity and Magnetism advanced Hindi
Go,programming,beginner,advanced,English,Go beginner English
Optics,physics,beginner,intermediate,English,Optics beginner English
Electricity and Magnetism,physics,beginner,none,Hindi,Electricity and Magnetism beginner Hindi
Natural Language Processing,machine learning,beginner,advanced,English,Natural Language Processing beginner English
Data Mining,data science,beginner,none,Hindi,Data Mining beginner Hindi
Machine Learning Basics,machine learning,advanced,advanced,Hindi,Machine Learning Basics advanced Hindi
Data Mining,data science,intermediate,none,Hindi,Data Mining intermediate Hindi
Analytical Chemistry,chemistry,beginner,basic,Hindi,Analytical Chemistry beginner Hindi
Ruby,programming,beginner,none,Hindi,Ruby beginner Hindi
Inorganic Chemistry,chemistry,advanced,advanced,Hindi,Inorganic Chemistry advanced Hindi
World Wars,history,beginner,basic,English,World Wars beginner English
Computer Vision,machine learning,intermediate,none,Hindi,Computer Vision intermediate Hindi
Data Mining,data science,beginner,intermediate,English,Data Mining beginner English
Modern History,history,advanced,basic,Hindi,Modern History advanced Hindi
Thermodynamics,physics,advanced,advanced,Hindi,Thermodynamics advanced Hindi
English Literature,literature,beginner,advanced,Hindi,English Literature beginner Hindi
Data Mining,data science,intermediate,advanced,English,Data Mining intermediate English
Natural Language Processing,machine learning,beginner,basic,English,Natural Language Processing beginner English
Modern History,history,advanced,none,English,Modern History advanced English
Data Analysis,data science,beginner,basic,English,Data Analysis beginner English
Physical Chemistry,chemistry,intermediate,intermediate,English,Physical Chemistry intermediate English
Data Analysis,data science,intermediate,intermediate,Hindi,Data Analysis intermediate Hindi
Data Analysis,data science,beginner,intermediate,English,Data Analysis beginner English
Geometry,math,intermediate,advanced,Hindi,Geometry intermediate Hindi
R,programming,intermediate,advanced,Hindi,R intermediate Hindi
Mechanics,physics,advanced,none,Hindi,Mechanics advanced Hindi
Inorganic Chemistry,chemistry,intermediate,none,Hindi,Inorganic Chemistry intermediate Hindi
Data Analysis,data science,beginner,intermediate,English,Data Analysis beginner English
English Literature,literature,beginner,intermediate,English,English Literature beginner English
World Wars,history,advanced,advanced,Hindi,World Wars advanced Hindi
Probability and Statistics,math,intermediate,basic,Hindi,Probability and Statistics intermediate Hindi
Indian History,history,beginner,advanced,Hindi,Indian History beginner Hindi
Poetry,literature,beginner,advanced,English,Poetry beginner English
Ruby,programming,beginner,advanced,Hindi,Ruby beginner Hindi
Number Theory,math,advanced,basic,Hindi,Number Theory advanced Hindi
Number Theory,math,advanced,intermediate,Hindi,Number Theory advanced Hindi
World Literature,literature,beginner,advanced,English,World Literature beginner English
Swift,programming,intermediate,basic,Hindi,Swift intermediate Hindi
Deep Learning,machine learning,advanced,none,Hindi,Deep Learning advanced Hindi
Geometry,math,beginner,advanced,Hindi,Geometry beginner Hindi
Machine Learning Basics,machine learning,advanced,advanced,English,Machine Learning Basics advanced English
Data Mining,data science,beginner,none,English,Data Mining beginner English
Modern History,history,beginner,advanced,English,Modern History beginner English
Swift,programming,advanced,intermediate,Hindi,Swift advanced Hindi
Deep Learning,machine learning,beginner,advanced,English,Deep Learning beginner English
Computer Vision,machine learning,advanced,none,Hindi,Computer Vision advanced Hindi
Thermodynamics,physics,intermediate,advanced,Hindi,Thermodynamics intermediate Hindi
Inorganic Chemistry,chemistry,beginner,none,English,Inorganic Chemistry beginner English
Natural Language Processing,machine learning,intermediate,intermediate,English,Natural Language Processing intermediate English
Poetry,literature,intermediate,basic,Hindi,Poetry intermediate Hindi
Drama,literature,beginner,intermediate,Hindi,Drama beginner Hindi
PHP,programming,intermediate,advanced,Hindi,PHP intermediate Hindi
R,programming,beginner,advanced,Hindi,R beginner Hindi
American Literature,literature,advanced,intermediate,Hindi,American Literature advanced Hindi
Number Theory,math,advanced,intermediate,English,Number Theory advanced English
Mechanics,physics,intermediate,none,Hindi,Mechanics intermediate Hindi
Mechanics,physics,advanced,basic,Hindi,Mechanics advanced Hindi
Organic Chemistry,chemistry,advanced,intermediate,English,Organic Chemistry advanced English
Algebra,math,intermediate,advanced,English,Algebra intermediate English
Algebra,math,advanced,none,Hindi,Algebra advanced Hindi
Inorganic Chemistry,chemistry,beginner,basic,English,Inorganic Chemistry beginner English
Probability and Statistics,math,beginner,intermediate,English,Probability and Statistics beginner English
Big Data,data science,beginner,advanced,Hindi,Big Data beginner Hindi
World Literature,literature,advanced,basic,Hindi,World Literature advanced Hindi
Go,programming,beginner,basic,English,Go beginner English
JavaScript,programming,advanced,none,Hindi,JavaScript advanced Hindi
Optics,physics,beginner,basic,English,Optics beginner English
Algebra,math,advanced,basic,English,Algebra advanced English
Medieval History,history,advanced,advanced,English,Medieval History advanced English
Go,programming,advanced,basic,Hindi,Go advanced Hindi
Data Visualization,data science,advanced,advanced,English,Data Visualization advanced English
Machine Learning Basics,machine learning,beginner,advanced,Hindi,Machine Learning Basics beginner Hindi
Go,programming,advanced,intermediate,English,Go advanced English
Geometry,math,intermediate,intermediate,English,Geometry intermediate English
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
Big Data,data science,intermediate,none,English,Big Data intermediate English
JavaScript,programming,intermediate,advanced,Hindi,JavaScript intermediate Hindi
Drama,literature,beginner,basic,English,Drama beginner English
Modern Physics,physics,advanced,none,English,Modern Physics advanced English
Number Theory,math,intermediate,none,English,Number Theory intermediate English
Mechanics,physics,advanced,basic,Hindi,Mechanics advanced Hindi
Modern History,history,intermediate,intermediate,English,Modern History intermediate English
Inorganic Chemistry,chemistry,advanced,intermediate,Hindi,Inorganic Chemistry advanced Hindi
Mechanics,physics,beginner,none,Hindi,Mechanics beginner Hindi
Organic Chemistry,chemistry,beginner,basic,English,Organic Chemistry beginner English
Calculus,math,intermediate,advanced,Hindi,Calculus intermediate Hindi
Computer Vision,machine learning,beginner,advanced,English,Computer Vision beginner English
Swift,programming,beginner,basic,Hindi,Swift beginner Hindi
Electricity and Magnetism,physics,advanced,advanced,English,Electricity and Magnetism advanced English
PHP,programming,advanced,advanced,Hindi,PHP advanced Hindi
Poetry,literature,advanced,none,Hindi,Poetry advanced Hindi
R,programming,beginner,basic,Hindi,R beginner Hindi
Analytical Chemistry,chemistry,intermediate,intermediate,English,Analytical Chemistry intermediate English
Go,programming,advanced,none,English,Go advanced English
Mechanics,physics,advanced,advanced,Hindi,Mechanics advanced Hindi
Python,programming,advanced,advanced,English,Python advanced English
World Wars,history,advanced,intermediate,Hindi,World Wars advanced Hindi
Analytical Chemistry,chemistry,advanced,advanced,Hindi,Analytical Chemistry advanced Hindi
Big Data,data science,beginner,intermediate,Hindi,Big Data beginner Hindi
R,programming,intermediate,advanced,Hindi,R intermediate Hindi
Analytical Chemistry,chemistry,advanced,basic,English,Analytical Chemistry advanced English
Indian History,history,advanced,intermediate,English,Indian History advanced English
Computer Vision,machine learning,beginner,none,English,Computer Vision beginner English
Deep Learning,machine learning,beginner,advanced,English,Deep Learning beginner English
Poetry,literature,intermediate,none,English,Poetry intermediate English
Indian History,history,advanced,intermediate,Hindi,Indian History advanced Hindi
Data Analysis,data science,intermediate,intermediate,English,Data Analysis intermediate English
Drama,literature,beginner,basic,English,Drama beginner English
Medieval History,history,intermediate,basic,Hindi,Medieval History intermediate Hindi
Data Visualization,data science,beginner,advanced,Hindi,Data Visualization beginner Hindi
Swift,programming,advanced,advanced,English,Swift advanced English
Computer Vision,machine learning,beginner,advanced,Hindi,Computer Vision beginner Hindi
Data Analysis,data science,beginner,basic,English,Data Analysis beginner English
Inorganic Chemistry,chemistry,beginner,advanced,Hindi,Inorganic Chemistry beginner Hindi
Geometry,math,advanced,none,English,Geometry advanced English
Poetry,literature,beginner,basic,English,Poetry beginner English
Data Visualization,data science,advanced,none,Hindi,Data Visualization advanced Hindi
World Literature,literature,advanced,intermediate,English,World Literature advanced English
Big Data,data science,advanced,basic,English,Big Data advanced English
Medieval History,history,intermediate,advanced,Hindi,Medieval History intermediate Hindi
